fck (MPa),Cement (Kg/m3),Water (Kg/m3),FA(Kg/m3),RFA(Kg/m3),CA(kg/m3),RCA (Kg/m3),MA(Kg/m3),CHA(Kg/m3)
21.4,359,189,435,435,435,435,449,3.23
57.8,401.47,198.96,836.46,0,768.5,0,122.11,2.09
49.6,401.47,198.96,836.46,0,384.25,384.25,122.11,2.09
46.3,401.47,198.96,836.46,0,0,768.5,122.11,2.09
53.45,520,182,785,0,867,0,0,4.02
46.54,520,182,785,0,433,416.4,0,4.16
18.04,260,182,785,0,433,416.4,260,5.72
33.51,260,182,785,0,433,416.4,260,5.43
40.31,260,182,785,0,433,416.4,260,6.76
7.17,130,182,785,0,433,416.4,390,5.94
19.66,130,182,785,0,433,416.4,390,4.68
35.54,130,182,785,0,433,416.4,390,6.8
43.89,520,182,785,0,0,832,0,4.72
21,260,182,785,0,0,832,260,4.78
38.38,260,182,785,0,0,832,260,5.67
49.44,260,182,785,0,0,832,260,6.86
13.64,130,182,785,0,0,832,390,7.4
30.84,130,182,785,0,0,832,390,7.28
42.75,130,182,785,0,0,832,390,7.57
29.81,455,182,785,0,0,832,0,3.19
13.89,113.7,182,785,0,0,832,341.23,4.01
18.35,113.7,182,785,0,0,832,341.23,1.37
26.23,113.7,182,785,0,0,832,341.23,3.19
19.75,404,182,785,0,0,832,0,2.83
9.63,101,182,785,0,0,832,303,3.2
12.07,101,182,785,0,0,832,303,1.21
18.86,101,182,785,0,0,832,303,3.63
77.96,427.5,171,765,0,859.8,0,142.5,6.29
81.4,370.5,171,757.5,0,851.4,0,199.5,7
66.63,360,206.4,773.4,0,869.3,0,120,3.11
72.47,312,206.4,767.2,0,862.3,0,167,4.55
68.67,427.5,171,765,0,0,749.2,142.5,4.95
70.39,370.5,171,757.5,0,0,741.9,199.5,6.26
55.38,360,206.4,773.4,0,0,757.5,120,2.55
63.89,312,206.4,767.2,0,0,751.3,168,4.09
61.97,427.5,171,0,667,859.8,0,142.5,4.51
64.61,370.5,171,0,660.5,851.4,0,199.5,4.2
48.69,360,206.4,0,674.4,869.3,0,120,1.82
61.04,312,206.4,0,668.9,862.3,0,168,2.7
55.76,427.5,171,0,667,0,749.2,142.5,3.44
57.41,370.5,171,0,660.5,0,741.9,199.5,3.79
46.04,360,206.4,0,674.4,0,757.5,120,1.78
52.92,312,206.4,0,668.9,0,751.3,168,2.62
60.76,313.54,174.06,927.75,0,749.7,0,209.03,5.23
55.76,313.54,174.065,463.87,364.85,749.7,0,209.03,5.23
44.54,313.54,174.06,0,729.69,749.7,0,209.03,5.23
44.54,315.11,174.06,927.75,0,749.7,0,210.08,3.15
38.41,315.11,174.065,0,729.75,749.7,0,210.08,4.2
46,400,150,1200,0,530,0,100,3.5
38.99,400,167,1200,0,530,0,100,3.8
38.99,400,167,1200,0,530,0,100,3.8
36.7,400,167,900,300,530,0,100,3.8
32.8,400,167,600,600,530,0,100,3.8
29.6,400,167,300,900,530,0,100,3.8
24.8,400,167,0,1200,530,0,100,3.8
37,400,167,1200,0,397.5,132.5,100,3.8
33.51,400,167,1200,0,265,265,100,3.8
31.36,400,167,1200,0,132.5,397.5,100,3.8
25.83,400,167,1200,0,0,530,100,3.8
38,380,167,900,300,530,0,100,3.8
39.6,370,167,900,300,530,0,100,3.8
42.1,360,167,900,300,530,0,100,3.8
38.7,380,167,1200,0,397.5,132.5,100,3.8
40.3,370,167,1200,0,397.5,132.5,100,3.8
42,360,167,1200,0,397.5,132.5,100,3.8
40.7,500,172,919,0,803,0,31,37.5
36.11,500,172,919,0,602.25,200.75,31,37.5
33.65,500,172,919,0,401.5,401.5,31,37.5
28.65,500,172,919,0,200.75,602.25,31,37.5
25.37,500,172,919,0,0,803,31,37.5
42.81,500,172,689.25,229.75,803,0,31,37.5
39.27,500,172,459.5,459.5,803,0,31,37.5
36.2,500,172,229.75,689.25,803,0,31,37.5
32.19,500,172,0,919,803,0,31,37.5
28.61,500,172,689.25,229.75,602.25,200.75,31,37.5
45.65,500,172,689.25,229.75,401.5,401.5,31,37.5
40.62,500,172,689.25,229.75,200.75,602.25,31,37.5
38.08,500,172,689.25,229.75,0,803,31,37.5
33.12,500,172,459.5,459.5,602.25,200.75,31,37.5
29.76,500,172,459.5,459.5,401.5,401.5,31,37.5
42.65,500,172,459.5,459.5,200.75,602.25,31,37.5
37.01,500,172,459.5,459.5,0,803,31,37.5
34.89,500,172,229.75,689.25,602.25,200.75,31,37.5
29.71,500,172,229.75,689.25,401.5,401.5,31,37.5
25.99,500,172,229.75,689.25,200.75,602.25,31,37.5
33.79,500,172,229.75,689.25,0,803,31,37.5
